Country,Number of Facebook users 1st July 2010,Population
USA,125881220,310906000
UK,26543600,62008048
Indonesia,25912960,237556363
Turkey,22552540,72561312
France,18942220,65447374
Italy,16647260,60494632
Canada,15497900,34347000
Philippines,14600300,94013200
Mexico,12978440,112322757
Spain,10610080,46122169
India,10547240,1191430000
Argentina,10542040,40518951
Colombia,10226820,45757000
Germany,9949760,81802000
Australia,9009660,22558000
Malaysia,7317520,28250500
Chile,6944540,17164700
Taiwan,6745160,23150923
Venezuela,6686300,29033000
Brazil,4757200,190732694
Thailand,4216760,67070000
Sweden,3798020,9408028
Egypt,3581460,79455000
Belgium,3505920,10827519
Hong Kong,3408240,7061200
Israel,3006460,7670500
South Africa,2884080,49991300
Greece,2838700,11306183
Poland,2772540,38092000
Czech Rep,2686040,10515818